,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Home,DRtg,Pace,eFG%,TOV%,DRB%,FT/FGA,Unnamed: 21
0,34.65,7,16,.438,1,4,.250,1,1,1.000,0,5,5,4,0,2,2,3,16,1.0165300454651272,-0.9498593879136863,-0.903674637036415,-1.01057471366683,0.46063951775521905,-0.21299922111731132,-0.6537835738672115,
1,34.7,7,13,.538,2,5,.400,5,8,.625,0,4,4,8,0,0,2,1,21,1.0165300454651272,1.305849687277056,-0.7934263313179719,0.11024451421819545,-1.564514398141594,-0.5824670643824221,0.04793134705771277,
2,33.766666666666666,12,22,.545,4,9,.444,4,4,1.000,0,14,14,10,0,1,5,3,32,1.0165300454651272,0.16116149986682712,-0.07681234414810292,0.6275456963189764,-0.045648961218984256,1.4496060735757048,0.6326937811618164,
3,33.766666666666666,12,22,.545,4,9,.444,4,4,1.000,0,14,14,10,0,1,5,3,32,1.0165300454651272,0.16116149986682712,-0.07681234414810292,0.6275456963189764,-0.045648961218984256,1.4496060735757048,0.6326937811618164,
4,35.8,3,14,.214,2,5,.400,3,6,.500,0,5,5,8,1,0,2,1,11,-0.9837387536759294,1.305849687277056,-0.7934263313179719,0.11024451421819545,-1.564514398141594,-0.5824670643824221,0.04793134705771277,
5,28.966666666666665,9,13,.692,1,3,.333,7,7,1.000,1,5,6,3,0,0,6,2,26,-0.9837387536759294,-1.0845285864325385,0.5846774901625483,-1.5278758957676108,0.12311386510575119,0.34120254378036363,-0.5953073304568012,
6,36.25,9,17,.529,5,8,.625,4,6,.667,0,6,6,10,1,0,0,1,27,-0.9837387536759294,0.46416719653424204,0.08856011442955794,0.11024451421819545,0.12311386510575119,-0.8287789598925018,1.9191711361908428,
7,40.0,7,16,.438,1,2,.500,5,5,1.000,1,7,8,11,2,0,1,1,20,-0.9837387536759294,-0.7141882905056974,0.5846774901625483,-0.23462294051565852,0.6294023440799545,1.3880280996981804,1.2759324586763288,
8,35.416666666666664,15,24,.625,6,11,.545,3,4,.750,0,7,7,6,1,0,5,2,39,-0.9837387536759294,-0.7141882905056974,2.62427114595372,-1.01057471366683,0.2918766914304851,-0.3361551688723512,0.574217537751406,
9,33.8,9,14,.643,2,4,.500,1,1,1.000,0,12,12,13,0,3,2,0,21,1.0165300454651272,0.9355093913502149,-1.1241712484732935,2.265666106304773,1.726360715190728,-1.4445586986676924,0.5157412943409957,
10,34.78333333333333,6,14,.429,0,3,.000,7,7,1.000,2,8,10,16,1,0,3,0,19,1.0165300454651272,0.46416719653424204,0.08856011442955794,0.11024451421819545,0.12311386510575119,-0.8287789598925018,1.9191711361908428,
11,36.93333333333333,13,22,.591,4,7,.571,5,8,.625,1,11,12,14,1,0,6,2,35,1.0165300454651272,-0.7141882905056974,2.62427114595372,-1.01057471366683,0.2918766914304851,-0.3361551688723512,0.574217537751406,
12,37.81666666666667,6,12,.500,1,4,.250,2,4,.500,1,15,16,12,1,0,7,0,15,-0.9837387536759294,0.6661709943125155,0.19880842014800112,0.11024451421819545,-0.80508167968029,-1.3214027509126525,-1.9987371723066483,
13,37.03333333333333,8,19,.421,2,7,.286,3,5,.600,4,3,7,5,1,0,6,1,21,-0.9837387536759294,1.6088553839444661,0.19880842014800112,1.7483649242039923,0.03873245194338271,-1.8756045158103274,-0.7707360606880322,
14,33.88333333333333,9,17,.529,1,5,.200,7,11,.636,0,2,2,12,0,0,4,1,26,1.0165300454651272,1.6425226835741815,0.364180878725662,0.9724131510528303,-1.9864214639534306,-0.15142124723979578,-0.1274973831735183,
15,37.03333333333333,12,22,.545,5,9,.556,2,4,.500,2,8,10,7,0,1,4,0,31,1.0165300454651272,-1.5558707812485113,-1.5100403184878408,-0.06218921314873153,2.232649194164933,1.5111840474532203,2.153076109832484,
16,34.68333333333333,7,17,.412,1,4,.250,3,3,1.000,0,6,6,7,3,0,6,3,18,1.0165300454651272,0.3631652976451006,0.639801643021766,-0.23462294051565852,-1.1426073323297579,0.033312674392768374,-1.0046410343296737,
17,34.733333333333334,7,16,.438,2,7,.286,2,2,1.000,1,7,8,10,0,0,5,0,18,-0.9837387536759294,1.305849687277056,-0.7934263313179719,0.11024451421819545,-1.564514398141594,-0.5824670643824221,0.04793134705771277,
18,33.083333333333336,8,18,.444,0,2,.000,0,0,,3,7,10,11,1,1,5,0,16,-0.9837387536759294,0.6661709943125155,0.19880842014800112,0.11024451421819545,-0.80508167968029,-1.3214027509126525,-1.9987371723066483,
19,33.516666666666666,5,13,.385,0,4,.000,2,2,1.000,0,8,8,6,0,0,5,0,12,1.0165300454651272,-2.4985551708804667,0.4744291844441052,-2.7349119873361,2.232649194164933,-0.6440450382599464,1.45136118890756,
20,36.06666666666667,12,28,.429,0,9,.000,3,3,1.000,1,4,5,14,0,2,3,1,27,-0.9837387536759294,1.6425226835741815,0.364180878725662,0.9724131510528303,-1.9864214639534306,-0.15142124723979578,-0.1274973831735183,
21,30.733333333333334,4,16,.250,0,4,.000,2,4,.500,3,5,8,4,0,0,6,1,10,-0.9837387536759294,-0.9498593879136863,-0.903674637036415,-1.01057471366683,0.46063951775521905,-0.21299922111731132,-0.6537835738672115,
22,29.05,12,18,.667,1,4,.250,4,4,1.000,1,4,5,8,1,0,5,2,29,-0.9837387536759294,-0.5121844927274241,-1.3997920127693977,-0.320839804199122,-0.38317461386845364,0.77224836092299,-1.823308442075417,
23,43.36666666666667,14,25,.560,6,11,.545,5,6,.833,0,10,10,11,2,3,4,3,39,-0.9837387536759294,0.29583069838567927,2.2935262287983904,1.5759311968370748,1.1356908230541578,0.7106703870454744,0.34031256410976457,
24,34.0,7,17,.412,3,6,.500,1,4,.250,4,4,8,8,1,2,5,2,18,1.0165300454651272,-0.7141882905056974,2.62427114595372,-1.01057471366683,0.2918766914304851,-0.3361551688723512,0.574217537751406,
25,34.083333333333336,8,21,.381,1,4,.250,2,2,1.000,0,6,6,7,0,1,2,1,19,-0.9837387536759294,0.16116149986682712,-0.07681234414810292,0.6275456963189764,-0.045648961218984256,1.4496060735757048,0.6326937811618164,
26,34.083333333333336,8,21,.381,1,4,.250,2,2,1.000,0,6,6,7,0,1,2,1,19,-0.9837387536759294,0.16116149986682712,-0.07681234414810292,0.6275456963189764,-0.045648961218984256,1.4496060735757048,0.6326937811618164,
27,34.416666666666664,13,24,.542,1,8,.125,5,6,.833,0,7,7,6,4,0,4,2,32,-0.9837387536759294,0.16116149986682712,-0.07681234414810292,0.6275456963189764,-0.045648961218984256,1.4496060735757048,0.6326937811618164,
28,34.416666666666664,13,24,.542,1,8,.125,5,6,.833,0,7,7,6,4,0,4,2,32,-0.9837387536759294,0.16116149986682712,-0.07681234414810292,0.6275456963189764,-0.045648961218984256,1.4496060735757048,0.6326937811618164,
29,35.43333333333333,10,16,.625,2,4,.500,6,7,.857,2,9,11,11,0,0,2,1,28,1.0165300454651272,-0.7141882905056974,0.5846774901625483,-0.23462294051565852,0.6294023440799545,1.3880280996981804,1.2759324586763288,
30,36.96666666666667,12,22,.545,2,4,.500,5,5,1.000,0,4,4,10,2,1,1,3,31,-0.9837387536759294,-0.8488574890245496,0.14368426728878345,-0.4070566678825855,0.7981651704046885,0.525936465412919,0.1648838338785335,
31,34.2,9,17,.529,3,6,.500,2,2,1.000,0,4,4,7,0,1,2,1,23,1.0165300454651272,-1.0845285864325385,0.5846774901625483,-1.5278758957676108,0.12311386510575119,0.34120254378036363,-0.5953073304568012,
32,36.2,15,25,.600,7,10,.700,1,2,.500,1,2,3,8,0,0,4,1,38,1.0165300454651272,0.3631652976451006,-0.021688191288877407,0.19646137790165893,0.5450209309175875,-1.5061366725452079,1.0420274850346873,
33,30.0,13,20,.650,2,5,.400,2,2,1.000,0,3,3,8,0,0,3,3,30,1.0165300454651272,0.29583069838567927,2.2935262287983904,1.5759311968370748,1.1356908230541578,0.7106703870454744,0.34031256410976457,
34,36.05,8,16,.500,4,7,.571,1,2,.500,1,12,13,9,1,0,2,4,21,-0.9837387536759294,-1.5222034816188008,-0.1870606498665461,-1.8727433505014648,0.20749527826811814,0.34120254378036363,-0.06902113976310795,
35,34.86666666666667,6,12,.500,1,4,.250,5,6,.833,0,10,10,8,1,0,2,0,18,-0.9837387536759294,0.2284960991262532,0.03343596157034027,-0.7519241226164395,-0.80508167968029,-1.1982468031576126,-0.5953073304568012,
36,32.1,7,11,.636,2,3,.667,2,4,.500,1,4,5,8,1,1,7,3,18,1.0165300454651272,0.6661709943125155,0.19880842014800112,0.11024451421819545,-0.80508167968029,-1.3214027509126525,-1.9987371723066483,
37,38.15,9,15,.600,3,6,.500,1,2,.500,1,4,5,9,2,0,2,0,22,1.0165300454651272,-0.5121844927274241,-1.3997920127693977,-0.320839804199122,-0.38317461386845364,0.77224836092299,-1.823308442075417,
38,34.93333333333333,12,17,.706,4,6,.667,1,2,.500,1,6,7,8,1,2,5,2,29,1.0165300454651272,0.3631652976451006,-1.5651644713470663,1.3172806057866844,1.2200722362165248,-0.15142124723979578,1.334408702086739,
39,35.05,9,20,.450,2,6,.333,5,6,.833,2,3,5,11,3,1,5,3,25,-0.9837387536759294,-1.3875342830999486,-0.628053872740311,-0.493273531566049,1.0513094098917908,1.2648721519431494,0.10640759046812313,
40,35.65,8,18,.444,2,6,.333,3,3,1.000,0,10,10,13,2,1,5,0,21,1.0165300454651272,1.3731842865364772,1.3012914773324173,0.4551119689520494,-0.9738445060050239,-1.3829807247901766,0.8081225113930458,
41,30.516666666666666,9,20,.450,0,2,.000,2,2,1.000,3,11,14,6,0,0,2,0,20,1.0165300454651272,-1.118195886062249,-1.2895437070509623,-1.7003096231345378,-0.7207002665179215,0.8338263348005143,-1.9402609288962378,
42,34.666666666666664,12,25,.480,0,1,.000,1,2,.500,1,4,5,12,1,0,3,0,25,-0.9837387536759294,-0.8488574890245496,0.14368426728878345,-0.4070566678825855,0.7981651704046885,0.525936465412919,0.1648838338785335,
43,36.416666666666664,9,17,.529,1,8,.125,3,5,.600,0,7,7,8,0,0,5,0,22,-0.9837387536759294,0.16116149986682712,-0.7383021784587542,0.02402765053473196,-0.13003037438135123,-0.028265299484755927,0.2818363206993542,
44,32.65,10,16,.625,1,4,.250,10,11,.909,1,7,8,9,1,0,8,1,31,-0.9837387536759294,0.9355093913502149,-1.1241712484732935,2.265666106304773,1.726360715190728,-1.4445586986676924,0.5157412943409957,
45,26.566666666666666,9,19,.474,1,4,.250,5,5,1.000,0,3,3,11,0,0,0,1,24,-0.9837387536759294,1.3731842865364772,1.3012914773324173,0.4551119689520494,-0.9738445060050239,-1.3829807247901766,0.8081225113930458,
46,36.81666666666667,14,26,.538,3,8,.375,2,4,.500,0,11,11,12,0,0,5,3,33,-0.9837387536759294,0.06015960097769042,-0.903674637036415,0.5413288326355129,0.12311386510575119,-0.028265299484755927,-0.9461647909192634,
47,31.016666666666666,8,13,.615,2,4,.500,8,11,.727,0,8,8,9,3,0,3,4,26,-0.9837387536759294,-1.3875342830999486,-0.628053872740311,-0.493273531566049,1.0513094098917908,1.2648721519431494,0.10640759046812313,
48,38.03333333333333,14,25,.560,6,9,.667,8,10,.800,1,16,17,8,1,1,3,1,42,1.0165300454651272,-0.8488574890245496,0.14368426728878345,-0.4070566678825855,0.7981651704046885,0.525936465412919,0.1648838338785335,
49,29.0,10,17,.588,3,7,.429,1,2,.500,1,6,7,8,1,0,7,2,24,1.0165300454651272,1.6425226835741815,0.364180878725662,0.9724131510528303,-1.9864214639534306,-0.15142124723979578,-0.1274973831735183,
50,33.666666666666664,6,13,.462,4,8,.500,2,4,.500,1,5,6,7,1,0,3,3,18,-0.9837387536759294,1.6425226835741815,0.364180878725662,0.9724131510528303,-1.9864214639534306,-0.15142124723979578,-0.1274973831735183,
51,37.9,10,22,.455,4,11,.364,2,2,1.000,1,6,7,11,1,2,2,0,26,1.0165300454651272,0.16116149986682712,-0.7383021784587542,0.02402765053473196,-0.13003037438135123,-0.028265299484755927,0.2818363206993542,
52,35.7,14,24,.583,4,8,.500,8,8,1.000,0,8,8,4,2,1,11,2,40,-0.9837387536759294,0.3631652976451006,-0.021688191288877407,0.19646137790165893,0.5450209309175875,-1.5061366725452079,1.0420274850346873,
53,33.03333333333333,11,19,.579,1,4,.250,2,3,.667,2,7,9,5,1,3,1,2,25,-0.9837387536759294,0.3631652976451006,0.639801643021766,-0.23462294051565852,-1.1426073323297579,0.033312674392768374,-1.0046410343296737,
54,37.06666666666667,11,17,.647,2,4,.500,3,4,.750,3,9,12,3,1,0,6,2,27,1.0165300454651272,0.2284960991262532,0.03343596157034027,-0.7519241226164395,-0.80508167968029,-1.1982468031576126,-0.5953073304568012,
55,37.43333333333333,11,21,.524,4,9,.444,7,10,.700,5,12,17,6,1,1,4,1,33,1.0165300454651272,-0.9498593879136863,-0.903674637036415,-1.01057471366683,0.46063951775521905,-0.21299922111731132,-0.6537835738672115,
56,37.28333333333333,12,21,.571,2,7,.286,2,3,.667,1,12,13,3,1,0,4,0,28,1.0165300454651272,-1.3875342830999486,-0.628053872740311,-0.493273531566049,1.0513094098917908,1.2648721519431494,0.10640759046812313,
57,35.53333333333333,6,17,.353,1,6,.167,4,4,1.000,1,4,5,9,2,1,8,2,17,1.0165300454651272,-1.3875342830999486,-0.628053872740311,-0.493273531566049,1.0513094098917908,1.2648721519431494,0.10640759046812313,
58,33.25,10,18,.556,5,10,.500,9,9,1.000,1,7,8,6,1,2,4,1,34,1.0165300454651272,1.6088553839444661,0.19880842014800112,1.7483649242039923,0.03873245194338271,-1.8756045158103274,-0.7707360606880322,
59,43.88333333333333,11,23,.478,2,8,.250,7,8,.875,1,11,12,8,0,1,1,3,31,1.0165300454651272,0.06015960097769042,-0.903674637036415,0.5413288326355129,0.12311386510575119,-0.028265299484755927,-0.9461647909192634,
60,34.5,11,23,.478,0,6,.000,0,3,.000,2,12,14,9,0,0,1,3,22,-0.9837387536759294,-1.118195886062249,-1.2895437070509623,-1.7003096231345378,-0.7207002665179215,0.8338263348005143,-1.9402609288962378,
